id;name;description;resource_type;created_by;created_date;last_modified_by;last_modified_date
1;but photography;../fake-data/blob/hipster.txt;SLIDE;goat like amidst;2024-07-16T14:02:58;since;2024-07-16T15:52:19
2;foolishly;../fake-data/blob/hipster.txt;INTERACTIVE;incidentally fully;2024-07-16T03:57:21;psst;2024-07-15T21:59:25
3;since whether;../fake-data/blob/hipster.txt;SLIDE;ultimately unabashedly flung;2024-07-16T17:43:29;instead;2024-07-16T10:05:52
4;second-hand wordy what;../fake-data/blob/hipster.txt;INTERACTIVE;pullulate frightened;2024-07-16T15:17:35;serpentine;2024-07-16T12:01:15
5;skive qua;../fake-data/blob/hipster.txt;SLIDE;whenever fluid advertise;2024-07-16T18:07:10;upliftingly youthfully enormously;2024-07-16T05:45:40
6;telephone;../fake-data/blob/hipster.txt;VIDEO;suspiciously healthily;2024-07-15T20:46:52;into pitching;2024-07-16T19:13:51
7;fantastic;../fake-data/blob/hipster.txt;INTERACTIVE;nerve;2024-07-15T22:19:24;er psst;2024-07-16T04:59:35
8;back freely;../fake-data/blob/hipster.txt;SLIDE;enroll scenery unbuckle;2024-07-16T19:38:19;why smoothly officially;2024-07-15T22:05:34
9;alpaca psst;../fake-data/blob/hipster.txt;DOCUMENT;espy bucketful;2024-07-16T01:51:01;lipstick silly;2024-07-15T22:36:26
10;robe and;../fake-data/blob/hipster.txt;DOCUMENT;optimistic download wherever;2024-07-16T16:16:23;busily populist hurdler;2024-07-16T14:26:03
