id;enrollment_date;status;created_by;created_date;last_modified_by;last_modified_date
1;2024-07-16;ACTIVE;limping anxiety;2024-07-16T16:34:04;why;2024-07-16T19:51:20
2;2024-07-16;COMPLETED;if unhealthy keyboard;2024-07-15T20:57:11;commonsense allocate;2024-07-16T07:51:38
3;2024-07-16;WAITLISTED;embarrassed;2024-07-16T16:48:58;now immortal drat;2024-07-15T23:03:10
4;2024-07-15;ACTIVE;likewise respect;2024-07-16T19:16:06;indolent;2024-07-16T19:02:54
5;2024-07-16;WAITLISTED;ack ouch ick;2024-07-16T18:04:01;blissful;2024-07-16T05:59:36
6;2024-07-16;WAITLISTED;what unethically;2024-07-16T13:55:47;slowly collect but;2024-07-16T07:57:02
7;2024-07-16;ACTIVE;wherever upside-down legalise;2024-07-16T19:35:59;sow;2024-07-16T11:52:16
8;2024-07-16;WAITLISTED;investment;2024-07-16T11:02:05;reflate balloonist;2024-07-16T16:18:45
9;2024-07-16;COMPLETED;woot hence;2024-07-16T04:50:43;halloween within what;2024-07-16T00:35:31
10;2024-07-16;WAITLISTED;custody castigate;2024-07-16T09:55:52;brr;2024-07-16T12:36:56
