id;grade_type;grade_value;comments;created_by;created_date;last_modified_by;last_modified_date
1;PERCENTAGE;as;../fake-data/blob/hipster.txt;plus wry;2024-07-15T20:18:16;wry killer fooey;2024-07-15T22:53:03
2;PERCENTAGE;complete p;../fake-data/blob/hipster.txt;recycle adumbrate generally;2024-07-16T19:47:12;hence pro ouch;2024-07-16T09:35:15
3;POINTS;deceivingl;../fake-data/blob/hipster.txt;ick overdue enchanted;2024-07-16T09:02:44;until;2024-07-16T14:48:58
4;PERCENTAGE;aha;../fake-data/blob/hipster.txt;micturate pinch blaring;2024-07-16T02:49:31;suddenly premier acquaint;2024-07-16T12:17:54
5;POINTS;meanwhile;../fake-data/blob/hipster.txt;noisily revenant mutiny;2024-07-16T17:22:50;predicate cadge;2024-07-16T15:30:45
6;LETTER;aggravatin;../fake-data/blob/hipster.txt;where frenetically;2024-07-16T02:36:33;known;2024-07-16T06:48:44
7;LETTER;since;../fake-data/blob/hipster.txt;concerning gah bah;2024-07-16T12:38:35;permeate tide;2024-07-16T10:44:10
8;POINTS;through ew;../fake-data/blob/hipster.txt;mmm why almanac;2024-07-15T20:43:21;atop;2024-07-16T17:09:22
9;LETTER;unto;../fake-data/blob/hipster.txt;now;2024-07-15T23:59:40;off;2024-07-16T07:59:47
10;POINTS;pish inasm;../fake-data/blob/hipster.txt;woot er;2024-07-16T17:11:39;icky betide;2024-07-16T18:08:49
