id;title;content;video_url;created_by;created_date;last_modified_by;last_modified_date
1;as pace;../fake-data/blob/hipster.txt;friendship warm;incidentally whereas;2024-07-16T09:44:06;but poorly;2024-07-15T23:02:54
2;modern chili;../fake-data/blob/hipster.txt;heartbeat afore briefly;glamorise;2024-07-16T11:42:57;yahoo short monk;2024-07-16T00:32:31
3;klap ouch sociable;../fake-data/blob/hipster.txt;oof;easily;2024-07-16T03:28:56;popular;2024-07-15T23:59:05
4;loosely excitedly an;../fake-data/blob/hipster.txt;yowza;trim;2024-07-16T11:00:13;while gosh showy;2024-07-15T21:17:44
5;furthermore;../fake-data/blob/hipster.txt;how imaginative alert;yet;2024-07-16T06:33:36;reproachfully doorstep;2024-07-16T05:09:51
6;gah;../fake-data/blob/hipster.txt;by successfully signup;warrior although;2024-07-16T00:24:02;broadly;2024-07-15T22:31:42
7;lightly;../fake-data/blob/hipster.txt;whip before ack;madly woot foolishly;2024-07-16T12:43:49;macrofauna;2024-07-15T22:19:55
8;calmly;../fake-data/blob/hipster.txt;oh;likely around;2024-07-16T05:46:19;compare phew hm;2024-07-16T19:44:16
9;fuel understated before;../fake-data/blob/hipster.txt;cleave slash safely;worth whether;2024-07-16T03:23:08;adrenaline;2024-07-15T22:31:47
10;for;../fake-data/blob/hipster.txt;out miskey;dirty for;2024-07-15T22:22:14;function phew;2024-07-15T21:26:35
