id;project_name;project_description;submission_date;created_by;created_date;last_modified_by;last_modified_date
1;without amidst cleverly;../fake-data/blob/hipster.txt;2024-07-16;lest meanwhile anti;2024-07-16T17:08:59;weeder badly merrily;2024-07-16T15:26:33
2;ruffle hm ah;../fake-data/blob/hipster.txt;2024-07-16;as;2024-07-16T01:25:59;as stunning;2024-07-16T05:30:46
3;coolly;../fake-data/blob/hipster.txt;2024-07-16;devoted monocle aw;2024-07-16T17:57:30;incidentally quaintly however;2024-07-16T13:28:07
4;sternly gracefully boohoo;../fake-data/blob/hipster.txt;2024-07-16;meh gah;2024-07-16T05:41:14;charter grown;2024-07-16T07:38:20
5;plus;../fake-data/blob/hipster.txt;2024-07-16;glut storm among;2024-07-15T22:53:52;supposing furthermore;2024-07-16T19:44:35
6;meh macaroni;../fake-data/blob/hipster.txt;2024-07-15;fortunately of around;2024-07-15T22:09:51;strong;2024-07-16T11:41:50
7;blah;../fake-data/blob/hipster.txt;2024-07-15;criticize while until;2024-07-16T15:25:50;whittle;2024-07-16T06:47:37
8;hmph;../fake-data/blob/hipster.txt;2024-07-16;jaunty;2024-07-16T12:33:56;floor how serious;2024-07-15T20:33:37
9;below;../fake-data/blob/hipster.txt;2024-07-15;output repossess under;2024-07-16T08:45:13;towards until wasting;2024-07-15T20:51:53
10;vintner ah;../fake-data/blob/hipster.txt;2024-07-16;unkempt sadness schooner;2024-07-16T00:17:12;ew;2024-07-16T04:24:24
